﻿Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Attachment → plm-attachment DGS migration,Attachment → plm-attachment DGS migration,,,,,dgs-migration,attachment,epic,,Epic for the attachment domain migration to the plm-product DGS.
Story,SPARK-ATCH-A01,SPARK-ATCH-A01 · Schema skeleton + DateTime scalar,,Attachment → plm-attachment DGS migration,A,Low,2,dgs-migration,attachment,schema,,"**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_Attachment.txt`.
**Target:** federation v2.3 header, `scalar DateTime → Instant`, empty `extend type Query`/`Mutation`. **Acceptance:** 1. `generateJava` passes. 2. scalar round-trips. **Tests:** ☐ compiles ☐ serde."
Story,SPARK-ATCH-A02,SPARK-ATCH-A02 · Owned types + inputs (normalize snake/camel record shape),,Attachment → plm-attachment DGS migration,A,Medium,3,dgs-migration,attachment,schema,SPARK-ATCH-A01,"**Target:** `Attachment` (`@key(fields:""id"")`) + ~9 value types + ~12 inputs per [03-schema.graphql](./03-schema.graphql). **Key task:** normalize the **dual record shape** (elastic `snake_case` vs api `camelCase`) at the DTO/Feign boundary (Jackson) so the schema fields are clean — this removes most of the field-resolver coalescing. **Acceptance:** 1. all types/inputs present; nullability matches SDL. 2. one canonical DTO maps both shapes. **Tests:** ☐ validates ☐ snake+camel mapping."
Story,SPARK-ATCH-A03,SPARK-ATCH-A03 · External stubs (platform + other DGS),,Attachment → plm-attachment DGS migration,A,Low,2,dgs-migration,attachment,schema,SPARK-ATCH-A01,"**Target:** `@extends @external` stubs for `SearchAttachment`, `UserProfileAttributes`, `Tag`,
`AccessControl`, `ResourceMapping`/`SingleResourceMapping`, `VMM_BusinessPartner`. **Acceptance:** 1. compiles; gateway composes. **Tests:** ☐ compiles ☐ stub resolves."
Story,SPARK-ATCH-A04,SPARK-ATCH-A04 · AttachmentService port (plm-attachment),,Attachment → plm-attachment DGS migration,A,High,5,dgs-migration,attachment,service,SPARK-ATCH-A01,"**Current Behaviour (Phase 2 §Service):** ~30 REST methods on `plm-attachment` (`attachments/v3` + renders/gallery/acl). **Target:** Kotlin service; canonical DTO; preserve the V3-vs-legacy gallery branch. **Acceptance:** 1. methods present (V3 reads/byPost, renders, archive/delete, copy, associate/remove, tags, attributes/bulk(V2), gallery publish/unpublish V3+legacy, teams). **Tests:** ☐ endpoint build ☐ gallery branch.

---

### Phase B — Core Reads"
Story,SPARK-ATCH-B01,SPARK-ATCH-B01 · getAttachmentsV3,,Attachment → plm-attachment DGS migration,B,Low,2,dgs-migration,attachment,query,"SPARK-ATCH-A02, SPARK-ATCH-A04",**Current Behaviour (Q1):** empty ids → []; (ACL) token → (own) `GET /attachments/v3?humanIds=`. **Target:** `@DgsQuery → [Attachment]`. **Acceptance:** 1. returns attachments; empty ids → []. **Tests:** ☐ happy ☐ empty.
Story,SPARK-ATCH-B02,SPARK-ATCH-B02 · getAttachmentsByResource (relationship + ACL),,Attachment → plm-attachment DGS migration,B,Medium,3,dgs-migration,attachment,query,SPARK-ATCH-A04,"**Current Behaviour (Q2):** (🟡 relationship) `searchByIds({id, includeNodeTypes:['attachments','attachments_v3'], maxDepth:0})` → ids → (accessControl) `getUserAccessByPost` → (own) `getAttachmentsByPostV3`. **Target:** `@DgsQuery → [Attachment]`. **Acceptance:** 1. relationship→ids→attachments chain. **Tests:** ☐ chain ☐ empty."
Story,SPARK-ATCH-B03,SPARK-ATCH-B03 · getAttachmentsByResourceAndOwner,,Attachment → plm-attachment DGS migration,B,Medium,3,dgs-migration,attachment,query,SPARK-ATCH-A04,**Current Behaviour (Q3):** (🟡 relationship) ids → (own) `getAttachmentsByIdsAndAuthorByPostV3`. **Target:** `@DgsQuery → [Attachment]`. **Acceptance:** 1. returns attachments incl. author. **Tests:** ☐ chain.
Story,SPARK-ATCH-B04,SPARK-ATCH-B04 · Renders queries (ids/V3Ids/byPost),,Attachment → plm-attachment DGS migration,B,Medium,3,dgs-migration,attachment,query,SPARK-ATCH-A04,"**Covers:** `getRendersForAttachmentIds` (@deprecated), `getRendersForAttachmentV3Ids`, `getRendersForAttachmentIdsByPost`. **Current Behaviour:** map each id → (own) renders loader (betaMode), compact; byPost uses an ACL token. **Target:** `@DgsQuery → [GalleryAttachment]`. **Acceptance:** 1. each variant returns renders; betaMode honored. **Tests:** ☐ ids ☐ v3 ☐ byPost."
Story,SPARK-ATCH-B05,SPARK-ATCH-B05 · getAttachmentsfromRelatedResource(s),,Attachment → plm-attachment DGS migration,B,Medium,3,dgs-migration,attachment,query,SPARK-ATCH-A04,"**Covers:** `getAttachmentsfromRelatedResource` (parent+related or related-only), `getAttachmentsfromRelatedResources`. **Current Behaviour:** (🔴 search) `searchAttachmentsByParentAndRelatedResource` / `…ByRelatedResource(s)` → content or []. **Target:** `@DgsQuery → [SearchAttachment]`. **Acceptance:** 1. parent+related vs related-only branches. **Tests:** ☐ both branches ☐ empty.

---

### Phase D — Mutations"
Story,SPARK-ATCH-D01,SPARK-ATCH-D01 · archiveAttachmentV3,,Attachment → plm-attachment DGS migration,D,Low,2,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M1):** (ACL) token → (own) `archiveAttachmentV3(id)`. **Target:** `@DgsMutation → Attachment`. **Acceptance:** 1. archives. **Tests:** ☐ archive.
Story,SPARK-ATCH-D02,SPARK-ATCH-D02 · deleteAttachmentV3,,Attachment → plm-attachment DGS migration,D,Low,2,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M2):** (ACL) token → (own) `deleteAttachmentV3(humanId)` → String. **Target:** `@DgsMutation → String`. **Acceptance:** 1. deletes; returns status. **Tests:** ☐ delete.
Story,SPARK-ATCH-D03,SPARK-ATCH-D03 · copyAttachmentsV3,,Attachment → plm-attachment DGS migration,D,Medium,3,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M3):** (ACL) token for `humanIds` → (own) `copyAttachmentsV3`. **Target:** `@DgsMutation → CopyAttachment`. **Acceptance:** 1. copies; returns thumbnail + copies. **Tests:** ☐ copy.
Story,SPARK-ATCH-D04,SPARK-ATCH-D04 · associateResourcesV3,,Attachment → plm-attachment DGS migration,D,Low,2,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M4):** (ACL) token → (own) `associateResourcesV3`. **Target:** `@DgsMutation → [Attachment]`. **Acceptance:** 1. associates resources. **Tests:** ☐ associate.
Story,SPARK-ATCH-D05,SPARK-ATCH-D05 · removeResourcesV3,,Attachment → plm-attachment DGS migration,D,Low,2,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M5):** (ACL) token → (own) `removeResourcesV3`. **Target:** `@DgsMutation → [Attachment]`. **Acceptance:** 1. removes resources. **Tests:** ☐ remove.
Story,SPARK-ATCH-D06,SPARK-ATCH-D06 · updateAttachmentsACLPermissions (ACL write),,Attachment → plm-attachment DGS migration,D,Medium,3,dgs-migration,attachment,mutation,SPARK-ATCH-A04,"**Current Behaviour (M6):** build bulk `{resourceId, dps:[{permissionLevel:ADMIN/READ, grantees:[partnerId]}]}` for admin/read id lists → (accessControl) `updateAccessControl`. **Note:** this is an **ACL write** (grant data — build work). **Target:** `@DgsMutation → AccessControl`. **Acceptance:** 1. ADMIN/READ DTOs built correctly per id list. **Tests:** ☐ admin ☐ read ☐ both."
Story,SPARK-ATCH-D07,SPARK-ATCH-D07 · updateAttachmentTags + updateAttachmentTagsV3 (identical impl),,Attachment → plm-attachment DGS migration,D,Low,2,dgs-migration,attachment,mutation,SPARK-ATCH-A04,"**Current Behaviour (M7/M8):** **identical impl** — (ACL) token → (own) `updateTagsV3({attachmentId, tags})`. **Target:** `@DgsMutation` (one impl, two schema fields). **Acceptance:** 1. updates tags; both fields delegate. **Tests:** ☐ tags ☐ both fields."
Story,SPARK-ATCH-D08,SPARK-ATCH-D08 · bulkUpdateAttachments (tags + permissions; fire-and-forget — confirm),,Attachment → plm-attachment DGS migration,D,Medium,3,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M9):** if tags → (own) `bulkUpdateTags`; if permissions → (accessControl) `bulkUpdateAttachmentPermissions`. **Latent:** fire-and-forget; **returns undefined** (confirm contract). **Target:** `@DgsMutation`; await + return updated. **Acceptance:** 1. tags + permissions applied. 2. returns updated attachments (fix the undefined). **Tests:** ☐ tags ☐ permissions ☐ return.
Story,SPARK-ATCH-D09,SPARK-ATCH-D09 · updateAttributes,,Attachment → plm-attachment DGS migration,D,Low,2,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M10):** (ACL) token for `documentId` → (own) `updateAttributes`. **Target:** `@DgsMutation → Attachment`. **Acceptance:** 1. updates attributes. **Tests:** ☐ update.
Story,SPARK-ATCH-D10,SPARK-ATCH-D10 · bulkUpdateAttributes,,Attachment → plm-attachment DGS migration,D,Medium,3,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M11):** (ACL) token for `documentId||humanId` → (own) `bulkUpdateAttributes`. **Target:** `@DgsMutation → [Attachment]`. **Acceptance:** 1. bulk-updates attributes. **Tests:** ☐ bulk.
Story,SPARK-ATCH-D11,SPARK-ATCH-D11 · bulkUpdateAttachmentsV2,,Attachment → plm-attachment DGS migration,D,Medium,3,dgs-migration,attachment,mutation,SPARK-ATCH-A04,**Current Behaviour (M12):** (ACL) token for `documentId` → (own) `bulkUpdateAttachmentsV2({attachments})`. **Target:** `@DgsMutation → [Attachment]`. **Acceptance:** 1. bulk-updates (tags/packet/perms/related). **Tests:** ☐ bulk v2.
Story,SPARK-ATCH-D12,SPARK-ATCH-D12 · publishAttachmentToGallery (ATC- V3/legacy branch),,Attachment → plm-attachment DGS migration,D,Medium,3,dgs-migration,attachment,mutation,SPARK-ATCH-A04,"**Current Behaviour (M13):** **branch on `ATC-` prefix** → V3 (`publishAttachmentToGalleryV3`) or legacy (`publishAttachmentToGallery`); api returns void → return `true`. **Target:** `@DgsMutation → Boolean`. **Acceptance:** 1. ATC- → V3, else legacy. 2. returns true on no-error. **Tests:** ☐ v3 ☐ legacy."
Story,SPARK-ATCH-D13,SPARK-ATCH-D13 · unpublishAttachmentToGallery (ATC- V3/legacy branch),,Attachment → plm-attachment DGS migration,D,Medium,3,dgs-migration,attachment,mutation,SPARK-ATCH-A04,"**Current Behaviour (M14):** as D12, unpublish (V3/legacy by `ATC-`). **Target:** `@DgsMutation → Boolean`. **Acceptance:** 1. ATC- → V3, else legacy. **Tests:** ☐ v3 ☐ legacy."
Story,SPARK-ATCH-D14,SPARK-ATCH-D14 · associateAttachmentTeams,,Attachment → plm-attachment DGS migration,D,Medium,3,dgs-migration,attachment,mutation,SPARK-ATCH-A04,"**Current Behaviour (M15):** build `{teamsToUpdateDto, parentId, humanIds:files, relatedResourceIds}` → (ACL) token for `files` → (own) `associateAttachmentTeams`. **Target:** `@DgsMutation → [Attachment]`. **Acceptance:** 1. associates teams to files. **Tests:** ☐ associate teams.

---

### Phase F — Federation & decisions"
Story,SPARK-ATCH-F01,SPARK-ATCH-F01 · Attachment entity fetcher (federated reference),,Attachment → plm-attachment DGS migration,F,Medium,3,dgs-migration,attachment,field-resolver,SPARK-ATCH-A04,"**Target:** `@DgsEntityFetcher(name=""Attachment"")` resolving by `id`, so product (`attachments`,
`attachmentsWithMetaData`, copy flows), productDetails, packaging, workspace, sample, claims resolve
attachments over the gateway. Keep `Attachment` distinct from search's `SearchAttachment`. **Acceptance:** 1. entity resolves by key. 2. `Product { attachments { id } }` smoke test. **Tests:** ☐ entity fetch ☐ smoke."
Story,SPARK-ATCH-F02,SPARK-ATCH-F02 · Deferred getAttachments drift query decision,,Attachment → plm-attachment DGS migration,F,Low,2,dgs-migration,attachment,schema,SPARK-ATCH-A04,"**Current Behaviour:** `getAttachments(resourceId, resourceType)` is `@deprecated(""Use v3"")` with **no resolver**. **Target:** delete or keep `@deprecated`; survey consumers. **Acceptance:** 1. decision + traffic survey. **Tests:** ☐ schema diff intentional.

---

### Phase G — Field Resolvers & Tests"
Story,SPARK-ATCH-G01,SPARK-ATCH-G01 · Attachment core field resolvers (snake/camel + access/users/businessPartnersFull),,Attachment → plm-attachment DGS migration,G,High,5,dgs-migration,attachment,field-resolver,"SPARK-ATCH-A02, SPARK-ATCH-A04","**Current Behaviour:** ~18 coalescing fields (snake/camel) + Date parse + `id` derivation; `access`
(accessControl `getPermissionsForResource`), `businessPartnersFull` (🔵 vmm), `createdBy`/`updatedBy`
(🟡 user). **Target:** most coalescing handled by A02's canonical DTO; thin `@DgsData` for the EXT fields. **Acceptance:** 1. coalescing correct (both shapes). 2. access/users/bps resolve. **Tests:** ☐ snake shape ☐ camel shape ☐ access ☐ users."
Story,SPARK-ATCH-G02,SPARK-ATCH-G02 · tags + modelFile + gallery sub-types (GalleryDetails/File/3dFile/ProductPacketProps),,Attachment → plm-attachment DGS migration,G,Medium,3,dgs-migration,attachment,field-resolver,SPARK-ATCH-A04,"**Current Behaviour:** `tags` (🟡 tag `getTags`), `modelFile` (`get3DmodelFile`); `GalleryDetails.publishedBy`
(🟡 user)/`fileTypes` (🔵 gallery `getAssetFiles`) + coalescing; `GalleryFile.canOpenInShowDog`, `ThreeDFile`,
`ProductPacketProps` (coalesce). **Acceptance:** 1. each resolves; gallery fileTypes via asset id. **Tests:** ☐ tags ☐ modelFile ☐ galleryDetails."
Story,SPARK-ATCH-G03,"SPARK-ATCH-G03 · Tests, parity harness",,Attachment → plm-attachment DGS migration,G,High,5,dgs-migration,attachment,tests,"SPARK-ATCH-B01, SPARK-ATCH-D08, SPARK-ATCH-G01","**Target:** ≥80% unit coverage; parity harness (incl. **both record shapes**, the gallery V3/legacy branch,
ACL writes, bulk updates); contract test (schema diff intentional-only, incl. `@deprecated`). **Acceptance:** 1. unit ≥80%. 2. parity green (both shapes). 3. schema-diff intentional. **Tests:** ☐ parity ☐ contract.

---

## 4. Risk Register
| Risk | Likelihood | Impact | Mitigation | Owner |
|------|-----------|--------|------------|-------|
| Dual record shape leaks into schema (A02/G01) | Medium | Medium | Normalize at the DTO boundary; one mapping | Backend Eng |
| `bulkUpdateAttachments` fire-and-forget / undefined (D08) | Medium | Medium | Await + return updated; confirm contract | Backend Eng |
| ACL-permission writes treated as ""ignored"" (D06/D08) | Medium | Medium | They ARE build work (grant data) — port them | Tech Lead |
| Gallery publish/unpublish V3-vs-legacy branch (D12/D13) | Low | Low | Preserve the `ATC-` prefix branch | Backend Eng |
| `SearchAttachment` vs `Attachment` confusion in supergraph | Low | Medium | Keep the two types distinct | Architect |

## 5. Summary
- **Stories:** 28 (A:4 · B:5 · D:14 · F:2 · G:3).
- **Critical path:** A01→A02/A04→G01→G03.
- **Highest cost:** the dual-shape normalization (A02) + core field resolvers (G01).
- **Separate subgraph:** `Attachment` is the entity product/productDetails/packaging/workspace/sample/claims reference.

---
**Phase Completed:** Phase 4 — Migration Stories · **Domain:** `attachment` · **Outputs:** 04-stories.md, 04-stories-index.yaml, 04-po-summary.md."
